Глубина манометра,Dшт,Руст,Pлин,Рлин,Туст,Тна шлейфе,Тзаб,Tлин,Дебит газа,Дебит кон нестабильный,Дебит воды.1,Нэф,Рпл. Тек (Карноухов),Pсб.1,Удельная плотность газа ,G_total,КГФ
154,3277.8,12.7,254.33,104.1,103.8,50.3,,106.4,50.5,569.07,196.5,0.6,44.5,52.7,101.36,0.67,,191.0
139,3424.5,11.11,182.39,103.06,103.45,42.3,,106.47,42.63,295.81,123.9,2.3,44.2,50.7,101.26,0.65,,191.0
155,3277.8,14.3,239.13,105.8,104.0,53.5,,106.7,54.0,648.1,232.4,1.7,44.5,52.7,101.75,0.67,,192.0
82,3640.5,9.53,244.45,108.49,108.12,59.0,,107.07,36.27,383.72,151.9,0.4,63.3,51.2,95.73,0.68,,194.0
159,3276.0,12.7,237.4,95.7,95.8,70.0,47.5,105.23,47.9,562.2,235.7,2.0,44.5,45.6,92.97,0.67,,198.0
85,3667.0,7.94,264.0,95.6,95.34,49.0,26.1,105.54,26.44,243.22,101.5,1.3,63.3,50.9,91.88,0.67,,198.0
152,3277.8,9.53,282.7,103.8,103.5,39.0,,106.4,40.1,354.22,82.6,0.8,44.5,52.7,100.17,0.67,,199.0
26,3653.0,14.29,149.89,73.31,72.58,50.0,,100.21,31.99,459.31,172.5,0.3,63.6,56.8,95.73,0.654,5.25,199.63
144,3437.0,9.53,193.52,100.6,100.6,54.0,35.1,106.6,36.3,250.43,110.8,1.6,44.2,48.6,98.79,0.68,,200.0
42,3588.5,7.94,258.0,100.2,100.2,57.0,33.0,105.1,33.2,235.78,94.7,1.2,30.0,,96.32,0.68,,200.0
16,3579.0,9.53,239.42,103.2,104.18,58.0,34.6,105.7,35.1,313.85,129.7,1.7,62.57,,90.8,0.66,,201.0
161,3284.0,7.94,241.12,88.7,89.0,51.0,27.0,104.68,27.2,215.34,93.1,1.1,44.5,41.6,88.53,0.66,,201.0
153,3277.8,11.11,271.55,103.6,102.9,45.3,,106.47,46.1,460.41,152.8,3.3,44.5,52.7,101.85,0.67,,201.0
158,3276.0,11.11,252.0,97.0,96.9,66.0,42.8,105.24,43.7,452.11,196.7,1.4,44.5,45.6,94.05,0.67,,204.0
81,3640.5,6.35,270.76,105.38,105.95,47.0,,104.0,22.45,182.45,80.0,0.3,63.3,51.2,101.06,0.68,,212.0
157,3276.0,9.53,262.0,94.9,94.9,62.0,36.3,105.18,37.5,350.09,154.5,1.4,44.5,45.6,92.28,0.67,,212.0
5,3576.3,14.29,171.9,99.2,99.5,64.0,49.4,104.4,49.9,483.28,190.6,4.7,56.8,,88.53,0.6694,5.77,215.15
138,3424.5,9.53,201.64,103.87,103.97,35.5,,106.4,36.56,244.58,120.4,1.4,44.2,50.7,102.25,0.65,,216.0
41,3572.0,12.7,222.92,101.7,108.4,37.0,,104.5,48.2,472.62,158.9,2.4,30.0,51.7,96.72,0.662,,217.0
143,3437.0,7.94,210.63,100.6,100.6,48.0,27.8,106.6,28.5,189.82,93.1,1.0,44.2,48.6,98.49,0.68,,218.0
142,3437.0,7.5,212.0,100.8,99.7,40.0,26.0,106.5,25.9,162.15,79.0,0.5,44.2,48.6,98.49,0.68,,219.0
37,,14.29,221.8,107.56,106.77,69.0,,,52.22,601.5,254.0,1.0,63.6,,89.61,0.6847,7.28,219.04
156,3276.0,7.5,268.0,95.0,95.4,56.0,28.6,104.98,30.4,246.61,114.7,1.1,44.5,45.6,93.07,0.67,,222.0
25,3653.0,15.88,138.87,80.73,79.54,51.0,38.0,105.02,37.26,492.51,209.7,0.4,63.6,56.8,99.48,0.654,5.76,223.11
4,3576.3,12.7,191.6,98.4,99.0,64.7,46.2,102.0,46.1,434.66,181.5,3.3,56.8,,88.03,0.6694,5.22,223.56
151,3277.8,6.35,288.78,101.9,104.1,26.5,,106.2,25.9,168.59,116.8,0.8,44.5,52.7,100.17,0.67,,224.0
15,3579.0,7.94,259.61,103.47,101.42,52.0,27.2,105.9,28.09,243.64,117.3,1.2,62.57,,91.98,0.66,,230.0
24,3653.0,14.29,165.85,79.95,81.15,52.0,34.0,105.12,33.83,488.09,221.2,0.4,63.6,56.8,97.61,0.654,5.78,233.96
40,3572.0,11.11,222.92,108.9,108.7,37.0,,104.6,45.0,389.86,143.5,1.2,30.0,51.7,102.25,0.662,,236.0
137,3424.5,6.35,219.88,101.82,101.92,24.2,,106.2,23.66,128.37,68.9,0.5,44.2,50.7,100.47,0.65,,241.0
6,3576.3,9.53,199.5,106.36,106.19,57.5,38.8,102.64,38.98,251.7,119.0,0.6,56.8,,89.51,0.675,3.08,241.13
36,3653.0,11.11,285.65,121.68,123.62,68.0,36.0,104.42,49.18,470.29,229.5,2.3,63.6,52.7,86.26,0.684,5.83,243.23
27,3653.0,11.11,191.41,76.57,76.82,50.0,,102.38,24.8,355.02,164.0,0.3,63.6,56.8,96.72,0.654,4.25,245.68
3,3576.3,11.11,213.4,101.6,100.6,63.6,42.8,102.6,43.4,368.04,172.3,1.9,56.8,,90.2,0.6694,4.52,248.79
